#Obj,67,11,27,16,2497113,26,139,34,131,20,148,30,131,18,135,38,122,39,108,50,119,0,0,26,139,34,136,20,149,30,132,18,133,38,123,38,108,47,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#Obj,66,11,27,16,2569773,31,144,46,130,25,150,32,128,30,135,42,116,46,104,47,119,0,0,31,144,45,135,25,150,33,129,30,133,42,121,46,104,46,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#Obj,65,11,27,1,2618541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2180,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#Obj,67,12,27,16,2698053,28,131,35,132,36,135,29,140,22,141,20,142,38,121,47,123,0,0,28,131,34,133,34,139,30,132,18,144,33,141,37,122,50,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#Obj,66,12,27,16,2771559,33,130,47,130,43,134,31,142,31,143,26,144,45,113,48,112,0,0,33,129,46,130,42,141,32,132,23,144,40,139,44,112,48,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#Obj,65,13,27,0,2819407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#Obj,67,13,27,16,2898335,28,131,34,136,31,144,30,129,11,140,37,134,34,125,50,117,0,0,28,130,33,138,31,145,30,131,11,140,38,132,33,126,48,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#Obj,66,13,27,16,2972691,33,131,46,132,39,147,30,147,33,127,40,127,45,110,48,107,0,0,32,137,47,130,31,147,33,132,31,133,42,118,46,106,48,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#Obj,65,14,27,0,3019595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#Obj,67,14,27,16,3098629,28,131,35,134,32,140,23,145,28,134,25,133,39,116,50,112,0,0,27,133,34,131,23,144,29,136,18,135,38,124,39,108,47,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#Obj,66,15,27,16,3173821,31,142,47,128,25,150,32,125,30,134,42,117,46,104,47,120,0,0,30,144,45,134,25,150,32,127,29,133,42,121,45,104,46,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#Obj,65,15,27,0,3219841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#Obj,67,16,27,16,3298921,28,131,34,132,35,134,28,139,22,141,20,142,37,120,47,123,0,0,28,130,34,133,33,139,30,132,18,143,33,141,36,121,49,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#Obj,66,16,27,16,3374959,33,130,46,130,43,135,31,141,30,142,26,144,45,112,47,111,0,0,33,129,46,130,42,141,31,130,23,143,40,138,44,112,48,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#Obj,65,16,27,0,3420063,0,0,0,0,0,0,0,0,2191,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#Obj,67,17,27,16,3500003,28,130,34,136,31,144,30,129,11,139,37,134,34,126,49,117,0,0,28,129,33,138,31,144,29,131,11,139,38,132,33,126,48,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#Obj,66,17,27,16,3576831,33,131,46,132,38,147,32,126,11,140,42,123,45,113,47,115,0,0,33,131,44,138,32,146,31,129,31,141,41,118,46,105,48,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#Obj,65,18,27,1,3620895,0,0,0,0,0,0,2169,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#Obj,67,18,27,16,3700921,28,130,35,132,32,140,23,145,28,134,25,132,38,116,50,111,0,0,27,133,35,131,23,144,29,136,21,134,36,130,39,111,49,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#Obj,66,19,27,16,3778635,31,143,47,130,26,150,33,126,30,134,42,116,46,103,47,119,0,0,30,143,45,134,25,152,32,128,29,133,42,121,45,103,46,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#Obj,65,19,27,0,3821765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#Obj,67,20,27,16,3901309,28,131,35,132,36,135,29,139,22,141,20,142,38,119,47,122,0,0,28,130,34,133,33,139,30,132,18,143,32,140,35,121,49,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#Obj,66,20,27,16,3979865,33,130,46,130,43,134,31,141,30,143,26,145,45,112,47,111,0,0,33,130,46,130,42,141,32,130,23,143,40,138,44,112,48,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#Obj,65,20,27,0,4022041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
